,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1999-02-01,-0.16,-0.39,-0.02,-0.16,-0.15,-0.41,0.019,0.0,0.0022728705159238416,-0.004090299254116747,-0.010079715761299735,-0.017185126483522772,0.00571734024336612,0.001285208798599946,0.008108709557714366,0.0008264381297338197,-0.0021227872512548096
1999-02-02,-0.49,-0.89,-0.23,0.31,0.08,0.75,0.019,0.0,-0.012564594677554108,0.008163101804312678,0.0014463759901381934,-0.010723916315362736,-0.014934115395545344,-0.007736954830217968,0.0007345505053728552,-0.017073204167198153,-0.013365466975347573
1999-02-03,-0.47,0.9,-0.36,-0.54,-0.54,-0.31,0.019,0.0,0.015964474530140826,-0.0034902606560760496,0.02285790063409765,0.0073850867066824755,0.018916802467020766,0.009662261227026292,0.0007328295333688395,0.007114573452973172,0.0053679757950169105
1999-02-04,-0.83,-1.92,0.68,0.75,-0.14,1.69,0.019,0.0,-0.00567275036851056,-0.004672841148236628,0.005634355877169206,-0.02368959574187901,-0.0074089448417855586,0.0012806614028488816,0.028903913408202087,-0.03479354837713711,-0.015102888076869991
1999-02-05,-0.84,-0.92,-0.42,0.79,-0.08,0.67,0.019,0.0,-0.025346586632745804,-0.015340206762538333,0.027702647010860115,-0.008253082122919864,-0.011507857625235207,-0.0032059677996572056,0.013442155723222715,-0.024476829264912237,0.0005431247550058416
1999-02-08,0.09,0.23,-0.62,0.36,0.4,-0.35,0.019,0.0,0.01620421536549088,-0.0017846169063870931,0.013568868833326864,-0.0027663479701987015,-0.0005784696464496974,0.0032059677996572056,-0.004931152102214398,0.01667425634666353,0.0
1999-02-09,-0.35,-2.25,0.41,1.34,0.66,1.25,0.019,0.0,-0.03149025991350207,-0.01802911805993812,-0.019048455827048283,-0.013947359274870674,-0.018114431038513068,-0.013535433544237918,-0.019252026571233927,-0.03995159144384175,0.004335856270416993
1999-02-10,0.43,0.27,-1.3,-0.5,0.68,0.12,0.019,0.0,0.0,0.007251018889566474,0.002743546726367896,0.008391685306983199,0.002356473668121417,0.003886281348430831,0.002157345903417429,0.00722037433822198,-0.0070557283338521515
1999-02-11,1.64,2.49,-0.94,-1.55,-1.04,-1.7,0.019,0.0,0.03206420708703117,0.0167159176875864,-0.00825348675453963,0.03959566050437724,0.026698741907630108,0.013483224213668876,-0.010108271108494105,0.041397183129556314,0.004348364172730879
1999-02-12,-0.24,-1.9,0.23,0.51,-0.12,1.34,0.019,0.0,-0.01794592085586233,-0.008323064500771249,-0.020935722216658625,-0.014834946221389256,-0.015002960714946667,-0.005756850342973241,-0.0050925944228445985,-0.04049874661038233,-0.016403705460705797
1999-02-16,0.24,0.65,-1.27,-0.05,-0.2,0.1,0.019,0.0,0.012768404434220226,0.011869479023085994,-0.007077038014511761,0.014834946221389256,0.009259651980688677,0.00511868463036258,-0.009527432454402351,-0.004502106976742581,0.018029067673087873
1999-02-17,-0.12,-1.45,-0.43,1.09,0.31,1.03,0.019,0.0,-0.003465433150801722,-0.010080011366390806,-0.009993126306639954,0.004007868907188072,-0.010422929141360893,0.0,-0.010362663387091242,-0.022821331319375027,-0.0070633128776176335
1999-02-18,0.25,0.92,-0.96,0.52,-0.21,0.55,0.019,0.0,0.0011561016011860659,0.010670467766439984,0.0028658140654149733,0.009950528242957724,0.012724049980866514,0.0,0.0074125943630698465,0.005524560989478733,0.017833154609828927
1999-02-19,0.05,0.25,0.08,-0.52,-0.26,-0.41,0.019,0.0,0.005189549758698231,-0.004136870922363922,-0.0057396120405459605,0.003294988039375557,0.0028697845217795503,0.006361577054002421,0.008091368286748057,0.009140954040806726,-0.010769841732211294
1999-02-22,0.88,2.41,-1.31,-0.75,0.11,-0.72,0.019,0.0,0.024986430652351288,0.021091544536687046,0.010022075635615746,0.02853647387556224,0.02098214366860507,0.015104312074890824,0.016709476215570174,0.034871419015558125,0.03196869274868064
1999-02-23,0.37,0.09,0.18,-0.47,-0.49,-0.85,0.019,0.0,-0.0050604267988627605,-0.0017414375806636961,-0.00858401819531629,0.012706374987166313,-0.0016850410593378662,-0.0006247673830035438,-0.008683521625380664,0.013094660156251603,-0.03196869274868064
1999-02-24,-0.01,-1.31,0.48,0.26,0.11,0.35,0.019,0.0,-0.012478603701172375,-0.005823629048164136,-0.004318955781384304,-0.033379088103834054,-0.011874661949883958,-0.0025036422446405027,-0.002911109793363398,-0.028145522253559374,0.00916238231766231
1999-02-25,-0.12,-0.69,0.1,0.13,-0.01,0.36,0.019,0.0,-0.011481523205254529,-0.01175130663257562,0.005037377771723861,-0.006548995156740567,-0.009717264066542164,-0.020253809649013466,0.0,0.002672527276359471,-0.021693216161144502
1999-02-26,-0.29,-0.49,0.16,0.37,-0.34,0.55,0.019,0.0,0.008622799528999359,0.0029510261581471298,-0.006482171417931504,0.018229650347037385,0.0028672267801317375,0.0031924382401795626,0.0,-0.030716411783481945,0.006012260372270983
1999-03-01,-0.14,-0.01,0.25,0.1,-0.29,-0.3,0.018,0.0006069802917769707,0.0005726792172970896,-0.004726197433430723,-0.010166705656779573,0.0038635872278782735,-0.0017196128659193732,-0.0006379423798046346,-0.011730566219123606,-0.004597622806339352,-0.01482265742667499
1999-03-02,-0.13,-0.69,0.32,0.52,-0.48,0.63,0.018,0.0006069802917769707,0.002286044458958081,-0.0029642395575679714,-0.010271820585261437,0.002567324142513261,-0.000573287408320855,-0.008325248616118941,-0.00888824122752041,-0.027091729832286138,-0.015046261949749784
1999-03-03,-0.25,0.01,-0.73,0.16,0.24,0.21,0.018,0.0006069802917769707,-0.005150101939756624,0.0,0.021883319888248653,-0.009661862259930043,-0.006334684075866459,-0.005804869045643812,-0.0067193581312503525,0.01690176573294533,0.0005608621141606207
1999-03-04,-0.2,1.34,-1.0,-0.34,0.22,0.09,0.018,0.0006069802917769707,0.021005258990871578,0.013565455601905807,0.035438897750805776,0.022400772248590606,0.017750278830708233,0.01921894554962922,0.002991510937417008,0.01018996409934081,0.015591056356429434
1999-03-05,0.85,2.04,-1.26,-0.66,0.37,-0.25,0.018,0.0006069802917769707,0.02988637727673593,0.01511677574743775,0.01862756356164752,0.02500130899239217,0.022447820721472223,0.021965432902648185,0.033055226570071206,0.02277996938406268,0.016981720055368132
1999-03-08,0.5,0.66,-0.41,-0.81,-0.71,-0.91,0.018,0.0006069802917769707,0.004352390037539511,0.004605141771752308,0.014252517396792896,-0.00681315003567784,0.001109178661727217,0.005571128524339386,0.0064816899977850895,0.028421450504541923,-0.011472271530464262
