Symbol,Security,Sector,Date added
MMM,3M,Industrials,1957-03-04
ABT,Abbott Laboratories,Health Care,1957-03-04
ACN,Accenture,Information Technology,2011-07-06
ADBE,Adobe Inc.,Information Technology,1997-05-05
AES,AES Corporation,Utilities,1998-10-02
AFL,Aflac,Financials,1999-05-28
A,Agilent Technologies,Health Care,2000-06-05
APD,Air Products,Materials,1985-04-30
AKAM,Akamai Technologies,Information Technology,2007-07-12
ALL,Allstate,Financials,1995-07-13
GOOG,Alphabet Inc. (Class C),Communication Services,2006-04-03
MO,Altria,Consumer Staples,1957-03-04
AMZN,Amazon,Consumer Discretionary,2005-11-18
AEE,Ameren,Utilities,1991-09-19
AEP,American Electric Power,Utilities,1957-03-04
AXP,American Express,Financials,1976-06-30
AIG,American International Group,Financials,1980-03-31
AMT,American Tower,Real Estate,2007-11-19
AMP,Ameriprise Financial,Financials,2005-10-03
AMGN,Amgen,Health Care,1992-01-02
APH,Amphenol,Information Technology,2008-09-30
ADI,Analog Devices,Information Technology,1999-10-12
AON,Aon,Financials,1996-04-23
APA,APA Corporation,Energy,1997-07-28
AAPL,Apple Inc.,Information Technology,1982-11-30
AMAT,Applied Materials,Information Technology,1995-03-16
ADM,Archer Daniels Midland,Consumer Staples,1957-03-04
AIZ,Assurant,Financials,2007-04-10
T,AT&T,Communication Services,1983-11-30
ADSK,Autodesk,Information Technology,1989-12-01
ADP,Automatic Data Processing,Industrials,1981-03-31
AZO,AutoZone,Consumer Discretionary,1997-01-02
AVB,AvalonBay Communities,Real Estate,2007-01-10
AVY,Avery Dennison,Materials,1987-12-31
BALL,Ball Corporation,Materials,1984-10-31
BAC,Bank of America,Financials,1976-06-30
BAX,Baxter International,Health Care,1972-09-30
BDX,Becton Dickinson,Health Care,1972-09-30
BRK-B,Berkshire Hathaway,Financials,2010-02-16
BBY,Best Buy,Consumer Discretionary,1999-06-29
BIIB,Biogen,Health Care,2003-11-13
BLK,BlackRock,Financials,2011-04-04
BK,BNY Mellon,Financials,1995-03-31
BA,Boeing,Industrials,1957-03-04
BKNG,Booking Holdings,Consumer Discretionary,2009-11-06
BWA,BorgWarner,Consumer Discretionary,2011-12-19
BSX,Boston Scientific,Health Care,1995-02-24
BMY,Bristol Myers Squibb,Health Care,1957-03-04
BF-B,Brown–Forman,Consumer Staples,1982-10-31
BXP,"BXP, Inc.",Real Estate,2006-04-03
CHRW,C.H. Robinson,Industrials,2007-03-02
CPB,Campbell Soup Company,Consumer Staples,1957-03-04
COF,Capital One,Financials,1998-07-01
CAH,Cardinal Health,Health Care,1997-05-27
KMX,CarMax,Consumer Discretionary,2010-06-28
CCL,Carnival,Consumer Discretionary,1998-12-22
CAT,Caterpillar Inc.,Industrials,1957-03-04
CBRE,CBRE Group,Real Estate,2006-11-10
COR,Cencora,Health Care,2001-08-30
CNP,CenterPoint Energy,Utilities,1985-07-31
CF,CF Industries,Materials,2008-08-27
SCHW,Charles Schwab Corporation,Financials,1997-06-02
CVX,Chevron Corporation,Energy,1957-03-04
CMG,Chipotle Mexican Grill,Consumer Discretionary,2011-04-28
CB,Chubb Limited,Financials,2010-07-15
CI,Cigna,Health Care,1976-06-30
CINF,Cincinnati Financial,Financials,1997-12-18
CTAS,Cintas,Industrials,2001-03-01
CSCO,Cisco,Information Technology,1993-12-01
C,Citigroup,Financials,1988-05-31
CLX,Clorox,Consumer Staples,1969-03-31
CME,CME Group,Financials,2006-08-11
CMS,CMS Energy,Utilities,1957-03-04
KO,Coca-Cola Company (The),Consumer Staples,1957-03-04
CTSH,Cognizant,Information Technology,2006-11-17
CL,Colgate-Palmolive,Consumer Staples,1957-03-04
CMCSA,Comcast,Communication Services,2002-11-19
CAG,Conagra Brands,Consumer Staples,1983-08-31
COP,ConocoPhillips,Energy,1957-03-04
ED,Consolidated Edison,Utilities,1957-03-04
STZ,Constellation Brands,Consumer Staples,2005-07-01
GLW,Corning Inc.,Information Technology,1995-02-27
COST,Costco,Consumer Staples,1993-10-01
CTRA,Coterra,Energy,2008-06-23
CSX,CSX Corporation,Industrials,1957-03-04
CMI,Cummins,Industrials,1965-03-31
CVS,CVS Health,Health Care,1957-03-04
DHR,Danaher Corporation,Health Care,1998-11-18
DRI,Darden Restaurants,Consumer Discretionary,1995-05-31
DVA,DaVita,Health Care,2008-07-31
DE,Deere & Company,Industrials,1957-03-04
DVN,Devon Energy,Energy,2000-08-30
DFS,Discover Financial,Financials,2007-07-02
DLTR,Dollar Tree,Consumer Staples,2011-12-19
DOV,Dover Corporation,Industrials,1985-10-31
DHI,D. R. Horton,Consumer Discretionary,2005-06-22
